temp,hum,windspeed,casual
0.344167,0.805833,0.160446,331
0.363478,0.696087,0.248539,131
0.196364,0.437273,0.248309,120
0.2,0.590435,0.160296,108
0.226957,0.436957,0.1869,82
0.204348,0.518261,0.0895652,88
0.196522,0.498696,0.168726,148
0.165,0.535833,0.266804,68
0.138333,0.434167,0.36195,54
0.150833,0.482917,0.223267,41
0.169091,0.686364,0.122132,43
0.172727,0.599545,0.304627,25
0.165,0.470417,0.301,38
0.16087,0.537826,0.126548,54
0.233333,0.49875,0.157963,222
0.231667,0.48375,0.188433,251
0.175833,0.5375,0.194017,117
0.216667,0.861667,0.146775,9
0.292174,0.741739,0.208317,78
0.261667,0.538333,0.195904,83
0.1775,0.457083,0.353242,75
0.0591304,0.4,0.17197,93
0.0965217,0.436522,0.2466,150
0.0973913,0.491739,0.15833,86
0.223478,0.616957,0.129796,186
0.2175,0.8625,0.29385,34
0.195,0.6875,0.113837,15
0.203478,0.793043,0.1233,38
0.196522,0.651739,0.145365,123
0.216522,0.722174,0.0739826,140
0.180833,0.60375,0.187192,42
0.192174,0.829565,0.053213,47
0.26,0.775417,0.264308,72
0.186957,0.437826,0.277752,61
0.211304,0.585217,0.127839,88
0.233333,0.929167,0.161079,100
0.285833,0.568333,0.1418,354
0.271667,0.738333,0.0454083,120
0.220833,0.537917,0.36195,64
0.134783,0.494783,0.188839,53
0.144348,0.437391,0.221935,47
0.189091,0.506364,0.10855,149
0.2225,0.544167,0.203367,288
0.316522,0.457391,0.260883,397
0.415,0.375833,0.417908,208
0.266087,0.314348,0.291374,140
0.318261,0.423478,0.251791,218
0.435833,0.505,0.230104,259
0.521667,0.516667,0.264925,579
0.399167,0.187917,0.507463,532
0.285217,0.407826,0.223235,639
0.303333,0.605,0.307846,195
0.182222,0.577778,0.195683,74
0.221739,0.423043,0.094113,139
0.295652,0.697391,0.250496,100
0.364348,0.712174,0.346539,120
0.2825,0.537917,0.186571,424
0.343478,0.68,0.125248,694
0.407273,0.876364,0.289686,81
0.266667,0.535,0.216425,137
0.335,0.449583,0.307833,231
0.198333,0.318333,0.225754,123
0.261667,0.610417,0.203346,214
0.384167,0.789167,0.251871,640
0.376522,0.948261,0.343287,114
0.261739,0.551304,0.341352,244
0.2925,0.420833,0.12065,316
0.295833,0.775417,0.22015,191
0.389091,0,0.261877,46
0.316522,0.649565,0.23297,247
0.329167,0.594583,0.220775,724
0.384348,0.527391,0.270604,982
0.325217,0.496957,0.136926,359
0.317391,0.655652,0.184309,289
0.365217,0.776522,0.203117,321
0.415,0.602917,0.209579,424
0.54,0.525217,0.231017,884
0.4725,0.379167,0.368167,1424
0.3325,0.47375,0.207721,1047
0.430435,0.737391,0.288783,401
0.441667,0.624583,0.22575,460
0.346957,0.839565,0.234261,203
0.285,0.805833,0.243787,166
0.264167,0.495,0.230725,300
0.265833,0.394167,0.209571,981
0.253043,0.493913,0.1843,472
0.264348,0.302174,0.212204,222
0.3025,0.314167,0.226996,317
0.3,0.646667,0.172888,168
0.268333,0.918333,0.217646,179
0.3,0.68625,0.258708,307
0.315,0.65375,0.197146,898
0.378333,0.48,0.182213,1651
0.573333,0.42625,0.385571,734
0.414167,0.642083,0.388067,167
0.390833,0.470833,0.263063,413
0.4375,0.602917,0.162312,571
0.335833,0.83625,0.226992,172
0.3425,0.8775,0.133083,879
0.426667,0.8575,0.146767,1188
0.595652,0.716956,0.324474,855
0.5025,0.739167,0.274879,257
0.4125,0.819167,0.250617,209
0.4675,0.540417,0.1107,529
0.446667,0.67125,0.226375,642
0.430833,0.888333,0.340808,121
0.456667,0.479583,0.303496,1558
0.5125,0.5425,0.163567,669
0.505833,0.665833,0.157971,409
0.595,0.614167,0.241925,613
0.459167,0.407083,0.325258,745
0.336667,0.729583,0.219521,177
0.46,0.887917,0.230725,1462
0.581667,0.810833,0.192175,1710
0.606667,0.776667,0.185333,773
0.631667,0.729167,0.3265,678
0.62,0.835417,0.3122,547
0.6175,0.700833,0.320908,569
0.51,0.457083,0.240063,878
0.4725,0.503333,0.235075,1965
0.451667,0.762083,0.106354,1138
0.549167,0.73,0.183454,847
0.616667,0.697083,0.342667,603
0.414167,0.737083,0.328996,255
0.459167,0.444167,0.295392,614
0.479167,0.59,0.228246,894
0.52,0.54125,0.16045,1612
0.528333,0.631667,0.0746375,1401
0.5325,0.58875,0.176,664
0.5325,0.489167,0.115671,694
0.5425,0.632917,0.120642,550
0.535,0.7475,0.189667,695
0.5125,0.863333,0.179725,692
0.520833,0.9225,0.13495,902
0.5625,0.867083,0.152979,1582
0.5775,0.787917,0.126871,773
0.561667,0.837917,0.277354,678
0.55,0.87,0.201492,536
0.530833,0.829583,0.108213,735
0.536667,0.719583,0.125013,909
0.6025,0.626667,0.12065,2258
0.604167,0.749583,0.148008,1576
0.631667,0.81,0.233842,836
0.66,0.740833,0.207092,659
0.660833,0.69625,0.154233,740
0.708333,0.6775,0.199642,758
0.681667,0.65375,0.240679,871
0.655833,0.729583,0.230092,2001
0.6675,0.81875,0.213938,2355
0.733333,0.685,0.131225,1549
0.775,0.636667,0.111329,673
0.764167,0.677083,0.207092,513
0.715,0.305,0.292287,736
0.62,0.354167,0.253121,898
0.635,0.45625,0.123142,1869
0.648333,0.6525,0.138692,1685
0.678333,0.6,0.121896,673
0.7075,0.597917,0.187808,763
0.775833,0.622083,0.136817,676
0.808333,0.568333,0.149883,563
0.755,0.605,0.140554,815
0.725,0.654583,0.15485,1729
0.6925,0.747917,0.163567,1467
0.635,0.494583,0.30535,863
0.604167,0.507083,0.269283,727
0.626667,0.471667,0.167912,769
0.628333,0.688333,0.206471,545
0.649167,0.735833,0.143029,863
0.696667,0.670417,0.119408,1807
0.699167,0.666667,0.102,1639
0.635,0.74625,0.155475,699
0.680833,0.770417,0.171025,774
0.733333,0.7075,0.172262,661
0.728333,0.703333,0.238804,746
0.724167,0.573333,0.222025,969
0.695,0.483333,0.209571,1782
0.68,0.513333,0.0945333,1920
0.6825,0.658333,0.107588,854
0.744167,0.634167,0.144283,732
0.728333,0.497917,0.261821,848
0.696667,0.434167,0.185312,1027
0.7225,0.39625,0.102608,1246
0.738333,0.444583,0.115062,2204
0.716667,0.6825,0.228858,2282
0.726667,0.637917,0.0814792,3065
0.746667,0.590417,0.126258,1031
0.72,0.743333,0.149883,784
0.75,0.65125,0.1592,754
0.709167,0.757917,0.225129,692
0.733333,0.609167,0.167912,1988
0.7475,0.578333,0.183471,1743
0.7625,0.635833,0.282337,723
0.794167,0.559167,0.200254,662
0.746667,0.631667,0.146133,748
0.680833,0.47625,0.240667,888
0.663333,0.59125,0.182833,1318
0.686667,0.585,0.208342,2418
0.719167,0.604167,0.245033,2006
0.746667,0.65125,0.215804,841
0.776667,0.650417,0.1306,752
0.768333,0.707083,0.113817,644
0.815,0.69125,0.222021,632
0.848333,0.580417,0.1331,562
0.849167,0.5,0.131221,987
0.83,0.550833,0.169171,1050
0.743333,0.757083,0.0908083,568
0.771667,0.540833,0.200258,750
0.775,0.402917,0.183463,755
0.779167,0.583333,0.178479,606
0.838333,0.5425,0.174138,670
0.804167,0.465833,0.168537,1559
0.805833,0.480833,0.164813,1524
0.771667,0.550833,0.156717,729
0.783333,0.49125,0.20585,801
0.731667,0.6575,0.135583,467
0.71,0.7575,0.19715,799
0.710833,0.630833,0.184696,1023
0.716667,0.755,0.22825,1521
0.7425,0.752917,0.201487,1298
0.765,0.592083,0.192175,846
0.775,0.570417,0.151121,907
0.766667,0.424167,0.200258,884
0.7175,0.42375,0.164796,812
0.708333,0.415,0.125621,1051
0.685833,0.729583,0.211454,1504
0.676667,0.8175,0.222633,1338
0.665833,0.712083,0.208954,775
0.700833,0.578333,0.236329,721
0.723333,0.575417,0.143667,668
0.711667,0.654583,0.233208,639
0.685,0.722917,0.139308,797
0.6975,0.674167,0.104467,1914
0.710833,0.77,0.248754,1249
0.691667,0.47,0.27675,833
0.640833,0.455417,0.146763,1281
0.673333,0.605,0.253108,949
0.684167,0.771667,0.210833,435
0.7,0.76125,0.0839625,768
0.68,0.85,0.375617,226
0.707059,0.561765,0.304659,1415
0.636667,0.554583,0.159825,729
0.639167,0.548333,0.125008,775
0.656667,0.597917,0.0833333,688
0.655,0.639167,0.141796,783
0.643333,0.727083,0.139929,875
0.669167,0.716667,0.185325,1935
0.709167,0.742083,0.206467,2521
0.673333,0.790417,0.212696,1236
0.54,0.886957,0.343943,204
0.599167,0.917083,0.0970208,118
0.633913,0.939565,0.192748,153
0.65,0.897917,0.124379,417
0.66,0.75375,0.153608,1750
0.653333,0.71375,0.115054,1633
0.644348,0.692174,0.088913,690
0.650833,0.7125,0.141804,701
0.673333,0.697083,0.1673,647
0.5775,0.709167,0.271146,428
0.469167,0.590417,0.164183,742
0.491667,0.718333,0.189675,1434
0.5075,0.695,0.178483,1353
0.549167,0.69,0.151742,691
0.561667,0.88125,0.134954,438
0.595,0.9,0.0964042,539
0.628333,0.902083,0.128125,555
0.609167,0.9725,0.0783667,258
0.606667,0.8625,0.0783833,1776
0.634167,0.845,0.0503792,1544
0.649167,0.848333,0.1107,684
0.636667,0.885417,0.118171,477
0.635,0.84875,0.148629,480
0.616667,0.699167,0.172883,653
0.564167,0.6475,0.206475,830
0.41,0.75375,0.292296,480
0.356667,0.791667,0.222013,616
0.384167,0.760833,0.0833458,330
0.484167,0.71,0.205854,486
0.538333,0.647917,0.17725,559
0.494167,0.620833,0.134954,639
0.510833,0.684167,0.0223917,949
0.521667,0.70125,0.0454042,2235
0.540833,0.7275,0.06345,2397
0.570833,0.73375,0.0423042,1514
0.566667,0.80875,0.143042,667
0.543333,0.90625,0.24815,217
0.589167,0.896667,0.141787,290
0.550833,0.71625,0.223883,529
0.506667,0.483333,0.258083,1899
0.511667,0.486667,0.281717,1748
0.534167,0.579583,0.175379,713
0.5325,0.701667,0.110087,637
0.541739,0.895217,0.243339,254
0.475833,0.63625,0.422275,471
0.4275,0.574167,0.221396,676
0.4225,0.629167,0.0926667,1499
0.421667,0.74125,0.0995125,1619
0.463333,0.772083,0.118792,699
0.471667,0.622917,0.166658,695
0.484167,0.720417,0.148642,404
0.47,0.812917,0.197763,240
0.330833,0.585833,0.229479,456
0.254167,0.8825,0.351371,57
0.319167,0.62375,0.176617,885
0.34,0.703333,0.10635,362
0.400833,0.68375,0.135571,410
0.3775,0.71875,0.0820917,370
0.408333,0.702083,0.136817,318
0.403333,0.6225,0.271779,470
0.326667,0.519167,0.189062,1156
0.348333,0.734583,0.0920542,952
0.395,0.75875,0.057225,373
0.408333,0.721667,0.0690375,376
0.4,0.758333,0.0621958,305
0.38,0.813333,0.189067,190
0.324167,0.44625,0.314675,440
0.356667,0.552917,0.212062,1275
0.440833,0.458333,0.281721,1004
0.53,0.587083,0.306596,595
0.53,0.68875,0.199633,449
0.456667,0.93,0.136829,145
0.341667,0.575833,0.305362,139
0.274167,0.41,0.168533,245
0.329167,0.502083,0.224496,943
0.463333,0.684583,0.18595,787
0.4475,0.91,0.138054,220
0.416667,0.9625,0.118792,69
0.440833,0.757917,0.335825,112
0.373333,0.549167,0.167304,560
0.375,0.64375,0.0988958,1095
0.375833,0.681667,0.0684208,1249
0.459167,0.698333,0.208954,810
0.503478,0.743043,0.142122,253
0.458333,0.830833,0.258092,96
0.325,0.613333,0.271158,188
0.3125,0.524583,0.220158,182
0.314167,0.625833,0.100754,268
0.299167,0.612917,0.0957833,706
0.330833,0.775833,0.0839583,634
0.385833,0.827083,0.0622083,233
0.4625,0.949583,0.232583,126
0.41,0.970417,0.266175,50
0.265833,0.58,0.240058,150
0.290833,0.695833,0.0827167,261
0.275,0.5075,0.233221,502
0.220833,0.49,0.0665417,377
0.238333,0.670833,0.06345,143
0.2825,0.59,0.14055,155
0.3175,0.66375,0.0609583,178
0.4225,0.634167,0.268042,181
0.375,0.500417,0.260575,178
0.258333,0.560833,0.243167,275
0.238333,0.58625,0.169779,220
0.276667,0.6375,0.172896,260
0.385833,0.595417,0.0615708,216
0.428333,0.858333,0.2214,107
0.423333,0.7575,0.047275,227
0.373333,0.68625,0.274246,163
0.3025,0.5425,0.190304,155
0.274783,0.681304,0.155091,303
0.321739,0.506957,0.239465,430
0.325,0.7625,0.18845,103
0.29913,0.503913,0.293961,255
0.248333,0.574167,0.119412,254
0.311667,0.636667,0.134337,491
0.41,0.615833,0.220154,665
0.37,0.6925,0.192167,686
0.273043,0.381304,0.329665,244
0.15,0.44125,0.365671,89
0.1075,0.414583,0.1847,95
0.265833,0.524167,0.129987,140
0.334167,0.542083,0.167908,307
0.393333,0.531667,0.174758,1070
0.3375,0.465,0.191542,599
0.224167,0.701667,0.0989,106
0.308696,0.646522,0.187552,173
0.274167,0.8475,0.131221,92
0.3825,0.802917,0.180967,269
0.274167,0.5075,0.378108,174
0.18,0.4575,0.187183,333
0.166667,0.419167,0.251258,284
0.19,0.5225,0.231358,217
0.373043,0.716087,0.34913,127
0.303333,0.443333,0.415429,109
0.19,0.4975,0.220158,130
0.2175,0.45,0.20275,115
0.173333,0.83125,0.222642,67
0.1625,0.79625,0.199638,196
0.218333,0.91125,0.110708,145
0.3425,0.835833,0.123767,439
0.294167,0.64375,0.161071,467
0.341667,0.769583,0.0733958,244
0.425,0.74125,0.342667,269
0.315833,0.543333,0.210829,775
0.2825,0.31125,0.24005,558
0.269167,0.400833,0.215792,126
0.39,0.416667,0.261817,324
0.469167,0.507917,0.189067,304
0.399167,0.672917,0.187187,190
0.313333,0.526667,0.178496,310
0.264167,0.779583,0.121896,384
0.265833,0.687917,0.175996,318
0.282609,0.622174,0.1538,206
0.354167,0.49625,0.147379,199
0.256667,0.722917,0.133721,109
0.265,0.562083,0.194037,163
0.280833,0.54,0.116929,227
0.224167,0.73125,0.289796,192
0.1275,0.464583,0.409212,73
0.2225,0.41125,0.167283,94
0.319167,0.50875,0.141179,135
0.348333,0.53125,0.1816,141
0.316667,0.752917,0.091425,74
0.343333,0.634583,0.205846,349
0.346667,0.534583,0.190929,1435
0.28,0.515833,0.253112,618
0.28,0.507826,0.229083,502
0.287826,0.594348,0.205717,163
0.395833,0.567917,0.234471,394
0.454167,0.554583,0.190913,516
0.4075,0.7375,0.237567,246
0.290833,0.395833,0.421642,317
0.279167,0.41,0.205229,515
0.366667,0.490833,0.268033,253
0.359167,0.395833,0.193417,229
0.344348,0.804783,0.179117,65
0.485833,0.615417,0.226987,325
0.353333,0.657083,0.144904,246
0.414167,0.62125,0.161079,956
0.325833,0.403333,0.334571,710
0.243333,0.50625,0.228858,203
0.258333,0.456667,0.200875,221
0.404167,0.513333,0.345779,432
0.5275,0.5675,0.441563,486
0.410833,0.407083,0.4148,447
0.2875,0.350417,0.22575,968
0.361739,0.476957,0.222587,1658
0.466667,0.489167,0.207713,838
0.565,0.6175,0.23695,762
0.5725,0.507083,0.115062,997
0.5575,0.579583,0.149883,1005
0.435833,0.842083,0.113192,548
0.514167,0.755833,0.110704,3155
0.4725,0.81,0.126883,2207
0.545,0.72875,0.162317,982
0.560833,0.807917,0.121271,1051
0.531667,0.82125,0.0895583,1122
0.554167,0.83125,0.117562,1334
0.601667,0.694167,0.1163,2469
0.5025,0.885417,0.192783,1033
0.4375,0.880833,0.220775,1532
0.445833,0.477917,0.386821,795
0.323333,0.29,0.187192,531
0.484167,0.48125,0.291671,674
0.494167,0.439167,0.31965,834
0.37,0.580833,0.138067,796
0.424167,0.738333,0.250617,2301
0.425833,0.67625,0.172267,2347
0.433913,0.504348,0.312139,1208
0.466667,0.396667,0.100133,1348
0.541667,0.469583,0.180975,1058
0.435,0.374167,0.219529,1192
0.403333,0.377083,0.300388,1807
0.4375,0.254167,0.274871,3252
0.5,0.275833,0.232596,2230
0.489167,0.3175,0.358196,905
0.446667,0.435,0.249375,819
0.348696,0.469565,0.295274,482
0.3975,0.46625,0.290429,663
0.4425,0.408333,0.155471,1252
0.495,0.502917,0.190917,2795
0.606667,0.507917,0.225129,2846
0.664167,0.561667,0.284829,1198
0.608333,0.390417,0.273629,989
0.463333,0.569167,0.167912,347
0.498333,0.6125,0.0659292,846
0.526667,0.694583,0.149871,1340
0.57,0.682917,0.283587,2541
0.396667,0.835417,0.344546,120
0.321667,0.766667,0.303496,195
0.413333,0.454167,0.249383,518
0.476667,0.427917,0.118792,655
0.498333,0.756667,0.176625,475
0.4575,0.400833,0.347633,1014
0.376667,0.489583,0.129975,1120
0.458333,0.587083,0.116908,2229
0.464167,0.57,0.171638,665
0.613333,0.659583,0.156096,653
0.564167,0.797083,0.138058,667
0.56,0.768333,0.133696,764
0.6275,0.735417,0.162938,1069
0.621667,0.756667,0.152992,2496
0.5625,0.74,0.149879,2135
0.5375,0.664167,0.230721,1008
0.581667,0.685833,0.296029,738
0.575,0.744167,0.216412,620
0.505833,0.552083,0.314063,1026
0.533333,0.360417,0.236937,1319
0.564167,0.480417,0.123133,2622
0.6125,0.57625,0.225117,2172
0.573333,0.789583,0.212692,342
0.611667,0.794583,0.147392,625
0.636667,0.697917,0.122512,991
0.593333,0.52,0.229475,1242
0.564167,0.523333,0.136817,1521
0.6,0.45625,0.083975,3410
0.620833,0.530417,0.254367,2704
0.598333,0.81125,0.233204,630
0.615,0.765833,0.118167,819
0.621667,0.774583,0.102,766
0.655,0.716667,0.172896,1059
0.68,0.747083,0.14055,1417
0.6925,0.7325,0.198992,2855
0.69,0.697083,0.215171,3283
0.7125,0.67625,0.196521,2557
0.7225,0.684583,0.2954,880
0.656667,0.67,0.134329,745
0.68,0.492917,0.195279,1100
0.654167,0.755417,0.237563,533
0.583333,0.549167,0.186562,2795
0.6025,0.493333,0.184087,2494
0.5975,0.487083,0.284833,1071
0.540833,0.613333,0.209575,968
0.554167,0.61125,0.077125,1027
0.6025,0.567083,0.15735,1038
0.649167,0.467917,0.175383,1488
0.710833,0.437083,0.144287,2708
0.726667,0.538333,0.133721,2224
0.720833,0.587917,0.207713,1017
0.653333,0.833333,0.214546,477
0.655833,0.582083,0.343279,1173
0.648333,0.569583,0.253733,1180
0.639167,0.589583,0.176617,1563
0.631667,0.504167,0.166667,2963
0.5925,0.59875,0.144904,2634
0.568333,0.777917,0.174746,653
0.688333,0.69,0.148017,968
0.7825,0.592083,0.113812,872
0.805833,0.567917,0.118787,778
0.7775,0.57375,0.182842,964
0.731667,0.534583,0.179721,2657
0.743333,0.479167,0.145525,2551
0.715833,0.504167,0.300383,1139
0.630833,0.373333,0.347642,1077
0.6975,0.36,0.271775,1077
0.749167,0.4225,0.17165,921
0.834167,0.48875,0.165417,829
0.765,0.60125,0.161071,1455
0.815833,0.51875,0.168529,1421
0.781667,0.447083,0.195267,904
0.780833,0.492083,0.126237,1052
0.789167,0.53875,0.13495,2562
0.8275,0.457917,0.194029,1405
0.828333,0.450833,0.146142,1366
0.861667,0.492083,0.163554,1448
0.8225,0.57375,0.125629,1203
0.710833,0.683333,0.180975,998
0.720833,0.6675,0.151737,954
0.716667,0.633333,0.151733,975
0.715833,0.529583,0.146775,1032
0.731667,0.485833,0.08085,1511
0.703333,0.699167,0.143679,2355
0.745833,0.717917,0.166667,1920
0.763333,0.645,0.164187,1088
0.818333,0.505833,0.114429,921
0.793333,0.577083,0.137442,799
0.77,0.600417,0.165429,888
0.665833,0.844167,0.208967,747
0.595833,0.865417,0.2133,1264
0.6675,0.7625,0.0939208,2544
0.741667,0.694167,0.138683,1135
0.750833,0.655,0.211454,1140
0.724167,0.45,0.1648,1383
0.776667,0.596667,0.284813,1036
0.781667,0.594583,0.152992,1259
0.755833,0.613333,0.15735,2234
0.721667,0.62375,0.170396,2153
0.730833,0.66875,0.153617,1040
0.713333,0.704167,0.165425,968
0.7175,0.6775,0.141179,1074
0.7525,0.659583,0.129354,983
0.765833,0.6425,0.215792,1328
0.793333,0.613333,0.257458,2345
0.769167,0.6525,0.290421,1707
0.7525,0.654167,0.129354,1233
0.735833,0.70375,0.116908,1278
0.75,0.672917,0.1107,1263
0.755833,0.620417,0.1561,1196
0.715833,0.715833,0.238813,1065
0.6925,0.732917,0.206479,2247
0.700833,0.530417,0.122512,2182
0.720833,0.545417,0.136212,1207
0.726667,0.686667,0.169158,1128
0.706667,0.619583,0.169771,1198
0.719167,0.519167,0.141796,1338
0.723333,0.570833,0.231354,1483
0.678333,0.603333,0.177867,2827
0.635833,0.711667,0.08645,1208
0.635833,0.734167,0.129979,1026
0.649167,0.67375,0.0727708,1081
0.6675,0.677083,0.0702833,1094
0.695833,0.635833,0.0845958,1363
0.7025,0.615,0.0721458,1325
0.661667,0.712917,0.244408,1829
0.653333,0.845833,0.228858,1483
0.703333,0.730417,0.128733,989
0.728333,0.62,0.190925,935
0.685,0.552083,0.112562,1177
0.706667,0.590417,0.0771167,1172
0.764167,0.5875,0.168533,1433
0.753333,0.638333,0.113187,2352
0.696667,0.815,0.0640708,2613
0.7075,0.790833,0.151121,1965
0.725833,0.755,0.236321,867
0.736667,0.74125,0.187808,832
0.696667,0.810417,0.142421,611
0.703333,0.73625,0.171646,1045
0.659167,0.799167,0.281104,1557
0.61,0.5475,0.224496,2570
0.583333,0.50375,0.258713,1118
0.5775,0.52,0.0920542,1070
0.599167,0.577083,0.131846,1050
0.6125,0.637083,0.0827208,1054
0.633333,0.6725,0.103863,1379
0.608333,0.501667,0.247521,3160
0.58,0.57,0.0901833,2166
0.580833,0.734583,0.151742,1022
0.623333,0.8725,0.357587,371
0.5525,0.536667,0.215175,788
0.546667,0.618333,0.118167,939
0.599167,0.66875,0.154229,1250
0.65,0.646667,0.283583,2512
0.529167,0.467083,0.223258,2454
0.514167,0.492917,0.142404,1001
0.55,0.57,0.236321,845
0.635,0.630833,0.2444,787
0.65,0.690833,0.134342,751
0.619167,0.69,0.164179,1045
0.5425,0.542917,0.227604,2589
0.526667,0.583333,0.134958,2015
0.520833,0.649167,0.0908042,763
0.590833,0.871667,0.104475,315
0.6575,0.79375,0.0665458,728
0.6575,0.722917,0.117546,891
0.615,0.6275,0.10635,1516
0.554167,0.664167,0.268025,3031
0.415833,0.708333,0.141162,781
0.383333,0.709583,0.189679,874
0.446667,0.761667,0.1903,601
0.514167,0.630833,0.187821,780
0.435,0.463333,0.181596,834
0.4375,0.539167,0.235092,1060
0.393333,0.494583,0.146142,2252
0.521667,0.640417,0.278612,2080
0.561667,0.7075,0.296037,760
0.468333,0.558333,0.182221,922
0.455833,0.692917,0.101371,979
0.5225,0.728333,0.236937,1008
0.563333,0.815,0.134954,753
0.484167,0.572917,0.117537,2806
0.464167,0.51,0.166054,2132
0.4875,0.568333,0.0814833,830
0.544167,0.641667,0.0945458,841
0.5875,0.63625,0.0727792,795
0.55,0.800417,0.124375,875
0.545833,0.807083,0.132467,1182
0.53,0.72,0.235692,2643
0.4775,0.694583,0.398008,998
0.44,0.88,0.3582,2
0.318182,0.825455,0.213009,87
0.3575,0.666667,0.166667,419
0.365833,0.581667,0.157346,466
0.355,0.522083,0.266175,618
0.343333,0.49125,0.270529,1029
0.325833,0.532917,0.179108,1201
0.319167,0.494167,0.236325,378
0.280833,0.567083,0.173513,466
0.295833,0.5475,0.304108,326
0.352174,0.333478,0.347835,340
0.361667,0.540833,0.214558,709
0.389167,0.645417,0.0578458,2090
0.420833,0.659167,0.1275,2290
0.485,0.741667,0.173517,1097
0.343333,0.662917,0.342046,327
0.289167,0.552083,0.199625,373
0.321667,0.620417,0.152987,320
0.345,0.524583,0.171025,484
0.325,0.545417,0.179729,1313
0.3425,0.692917,0.227612,922
0.380833,0.623333,0.235067,449
0.374167,0.685,0.082725,534
0.353333,0.61375,0.103246,615
0.34,0.580417,0.0528708,955
0.368333,0.56875,0.148021,1603
0.278333,0.404583,0.376871,532
0.245833,0.468333,0.1505,309
0.313333,0.535417,0.04665,337
0.291667,0.786667,0.237562,123
0.296667,0.50625,0.210821,198
0.28087,0.555652,0.115522,243
0.298333,0.649583,0.0584708,362
0.298333,0.806667,0.0597042,951
0.3475,0.823333,0.124379,892
0.4525,0.7675,0.0827208,555
0.475833,0.73375,0.174129,551
0.438333,0.485,0.324021,331
0.255833,0.50875,0.174754,340
0.320833,0.764167,0.1306,349
0.381667,0.91125,0.101379,1153
0.384167,0.905417,0.157975,441
0.435833,0.925,0.190308,329
0.353333,0.596667,0.296037,282
0.2975,0.538333,0.162937,310
0.295833,0.485833,0.174129,425
0.281667,0.642917,0.131229,429
0.324167,0.650417,0.10635,767
0.3625,0.83875,0.100742,538
0.393333,0.907083,0.0982583,212
0.410833,0.66625,0.221404,433
0.3325,0.625417,0.184092,333
0.33,0.667917,0.132463,314
0.326667,0.556667,0.374383,221
0.265833,0.44125,0.407346,205
0.245833,0.515417,0.133083,408
0.231304,0.791304,0.0772304,174
0.291304,0.734783,0.168726,440
0.243333,0.823333,0.316546,9
0.254167,0.652917,0.350133,247
0.253333,0.59,0.155471,644
0.253333,0.752917,0.124383,159
0.255833,0.483333,0.350754,364
0.215833,0.5775,0.154846,439
